Date,Product_ID,Product_Name,Sales,Weekday,Month,Year,Day_of_Year
2023-01-01,1,Smartphone,28,Sunday,January,2023,1
2023-01-02,1,Smartphone,71,Monday,January,2023,2
2023-01-03,1,Smartphone,52,Tuesday,January,2023,3
2023-01-04,1,Smartphone,2,Wednesday,January,2023,4
2023-01-05,1,Smartphone,58,Thursday,January,2023,5
2023-01-06,1,Smartphone,2,Friday,January,2023,6
2023-01-07,1,Smartphone,78,Saturday,January,2023,7
2023-01-08,1,Smartphone,60,Sunday,January,2023,8
2023-01-09,1,Smartphone,55,Monday,January,2023,9
2023-01-10,1,Smartphone,59,Tuesday,January,2023,10
2023-01-11,1,Smartphone,98,Wednesday,January,2023,11
2023-01-12,1,Smartphone,44,Thursday,January,2023,12
2023-01-13,1,Smartphone,43,Friday,January,2023,13
2023-01-14,1,Smartphone,85,Saturday,January,2023,14
2023-01-15,1,Smartphone,17,Sunday,January,2023,15
2023-01-16,1,Smartphone,63,Monday,January,2023,16
2023-01-17,1,Smartphone,97,Tuesday,January,2023,17
2023-01-18,1,Smartphone,66,Wednesday,January,2023,18
2023-01-19,1,Smartphone,65,Thursday,January,2023,19
2023-01-20,1,Smartphone,99,Friday,January,2023,20
2023-01-21,1,Smartphone,52,Saturday,January,2023,21
2023-01-22,1,Smartphone,3,Sunday,January,2023,22
2023-01-23,1,Smartphone,57,Monday,January,2023,23
2023-01-24,1,Smartphone,64,Tuesday,January,2023,24
2023-01-25,1,Smartphone,12,Wednesday,January,2023,25
2023-01-26,1,Smartphone,20,Thursday,January,2023,26
2023-01-27,1,Smartphone,34,Friday,January,2023,27
2023-01-28,1,Smartphone,80,Saturday,January,2023,28
2023-01-29,1,Smartphone,96,Sunday,January,2023,29
2023-01-30,1,Smartphone,90,Monday,January,2023,30
2023-01-31,1,Smartphone,27,Tuesday,January,2023,31
2023-02-01,1,Smartphone,84,Wednesday,February,2023,32
2023-02-02,1,Smartphone,38,Thursday,February,2023,33
2023-02-03,1,Smartphone,35,Friday,February,2023,34
2023-02-04,1,Smartphone,18,Saturday,February,2023,35
2023-02-05,1,Smartphone,89,Sunday,February,2023,36
2023-02-06,1,Smartphone,91,Monday,February,2023,37
2023-02-07,1,Smartphone,55,Tuesday,February,2023,38
2023-02-08,1,Smartphone,78,Wednesday,February,2023,39
2023-02-09,1,Smartphone,46,Thursday,February,2023,40
2023-02-10,1,Smartphone,75,Friday,February,2023,41
2023-02-11,1,Smartphone,80,Saturday,February,2023,42
2023-02-12,1,Smartphone,20,Sunday,February,2023,43
2023-02-13,1,Smartphone,60,Monday,February,2023,44
2023-02-14,1,Smartphone,62,Tuesday,February,2023,45
2023-02-15,1,Smartphone,33,Wednesday,February,2023,46
2023-02-16,1,Smartphone,1,Thursday,February,2023,47
